"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Camembert vitmögelost fett 23%";81;"Pålägg";286;1198;22.5;21.5;0;0;52.7;0;3.3;0.1;0;0.1;0;0;0;14.6;1.9;0.7;2.4;6.4;2.5;0;5.8;0.3;5.1;0.6;0.4;0.1;0;0;0;0;72;223.2;215;99;0.16;0.5;;0.04;0.45;1.8;6.82;0.25;62;1.1;0;370;19.1;0.2;720;187;20;605;1.5;5.5;2.4;0
"Ädelost grönmögelost fett 30%";82;"Pålägg";363;1520;30.5;21.5;1.5;0;41;0;5.5;0.1;0;0.1;0;0;0;19.8;2.6;1;3.2;8.7;3.4;0.1;7.9;0.5;6.9;0.8;0.6;0.2;0;0;0;0;96;244.1;235;109;0.21;0.7;;0.09;0.54;1.3;6.32;0.28;36;1.2;0;310;12;0.2;365;100;24;1004;2.5;2;4.1;0
"Mjukost smältost fett 8%";83;"Pålägg";146;612;8;18.1;0.5;0;69;0;4.4;0.2;0;0.2;0;0;0;5.2;0.7;0.3;0.8;2.3;0.9;0;2.1;0.1;1.8;0.2;0.2;0;0;0;0;0;30;53;51;24;0.05;0.2;;0.07;0.23;0.1;4.32;0.06;7;0.4;0;740;7;0.3;510;96;26;860;2.2;1;2.6;0
"Mjukost smältost fett 10%";84;"Pålägg";160;670;10.1;17.1;0.3;0;67.5;0;5;0.2;0;0.2;0;0;0;6.6;0.9;0.3;1.1;2.9;1.1;0;2.6;0.2;2.3;0.3;0.2;0.1;0;0;0;0;50;81;78;36;0.07;0.2;;0.07;0.23;0.1;4.09;0.06;7;0.4;0;930;6;0.3;450;46;26;1000;2.5;1;2.6;0
"Mjukost smältost fett 20%";85;"Pålägg";253;1059;20.8;16.9;0.1;0;57.3;0;4.9;0.2;0;0.2;0;0;0;13.5;1.8;0.7;2.2;6;2.3;0;5.4;0.3;4.7;0.5;0.4;0.1;0;0;0;0;55;167.2;161;75;0.14;0.5;;0.09;0.43;0.1;4.04;0.25;7;0.4;0;800;11;0.2;630;100;26;1000;2.5;1;2.6;0
"Mjukost smältost fett ca 16%";86;"Pålägg";208;871;15.5;16;1.5;0;62;0;5;0.2;0;0.2;0;0;0;10;1.3;0.5;1.6;4.4;1.7;0;4;0.2;3.5;0.4;0.3;0.1;0;0;0;0;55;124.7;120;56;0.1;0.4;;0.08;0.33;0.1;3.83;0.16;7;0.2;0;770;7;0.2;570;98;26;930;2.3;1;2.6;0
"Mjukost smältost fett 4%";87;"Pålägg";117;488;4;18;2;0;71.6;0;4.4;0.2;0;0.2;0;0;0;2.6;0.3;0.1;0.4;1.2;0.4;0;1;0.1;0.9;0.1;0.1;0;0;0;0;0;10;23.9;23;11;0.02;0.1;;0.07;0.23;0.1;4.3;0.06;7;0.4;0;741;6;0.3;513;100;25;1000;2.5;1;2.6;0
"Brieost vitmögelost fett 34%";92;"Pålägg";378;1582;34;17;2.1;0;43.8;0;3.2;0.2;0.1;0.1;0;0;0;21.4;2.3;1;3.6;10;3;0;9;0.7;7.6;1.4;0.9;0.2;0;0;0;0;108;361.1;353;96;0.62;1.6;2.1;0.03;0.39;0.59;4.5;0.16;40.2;1;0;300;10;0.3;466;80;14;445;1.1;7.8;2;0
"Ädelost grönmögelost fett 17%";93;"Pålägg";315;1318;20.8;31.4;0.9;0;41;0;6;0.9;0.8;0.1;0;0;0;13.1;1.2;0.6;2.2;6.1;1.8;0;5.5;0.4;4.7;0.9;0.5;0.1;0;0;0;0;60;193.1;190.5;31;0.62;0.4;1.3;0.03;0.55;0.74;8.1;0.26;47.5;2.25;0;571;0.5;0.1;829;114;29;1287;3.2;0.2;4.8;0
"Salladsost fett 22%";94;"Pålägg";272;1138;22.1;16.7;2.1;0;55.9;0;3.2;0.2;0;0.2;0;0;0;14.2;2.6;0.8;2.1;5.5;2.3;0.1;4.9;0.3;4.4;1;0.8;0.2;0;0;0;0;59.8;217.3;216;16;0;0.5;29.2;0.03;0.35;0.24;4.1;0;26.7;0.55;0;222;38.3;0.1;242;55;15;815;2;0;1.3;0
"Ost hårdost fett 17%";95;"Pålägg";280;1170;17;30.3;1.5;0;46.8;0;4.4;0;0;0;0;0;0;11.2;1.8;0.5;1.8;4.9;2;0;4;0.2;3.7;0.4;0.3;0.1;0;0;0;0;48;148.5;142;78;0.12;0.4;1.6;0.03;0.34;0.05;7.12;0.05;39;1.8;0;600;17;0.2;880;99;36;430;1.1;11.1;3.7;0
"Ost hårdost fett 28%";96;"Pålägg";358;1498;27.1;26.2;3;0;40.2;0;3.5;0;0;0;0;0;0;17.8;2.2;0.9;2.7;8.1;2.8;0;6.2;0.4;5.4;1;0.8;0.2;0;0;0;0;66.3;263.9;256;95;0.1;0.7;28.7;0.01;0.26;0;6.1;0.05;24.4;1.85;0;440;12;0.1;689;77;31;424;1.1;13;3.5;0
"Ost hårdost fett 31%";97;"Pålägg";392;1639;31.2;25.2;3.3;0;37;0;3.3;0;0;0;0;0;0;20.7;2.6;1;3.2;9.6;3.3;0;7.1;0.5;6.2;1.1;0.8;0.2;0;0;0;0;76.8;283.5;273;125;0.09;0.8;30.5;0.02;0.27;0;5.9;0.04;23.6;1.65;0;412;9;0.1;676;76;31;407;1;10;3.2;0
"Brieost vitmögelost fett 30%";98;"Pålägg";348;1455;30.2;17;2.8;0;47.4;0;2.6;0.1;0.1;0;0;0;0;19.5;2.1;0.9;3.1;9.1;3;0;7.3;0.5;6.3;1.1;0.8;0.2;0;0;0;0;59.6;279.2;272;86;0.2;0.9;11.8;0.03;0.37;0.56;4.5;0.1;39;1.13;0;281;19.1;0.1;409;99;18;404;1;0;2.4;0
"Ost halloumi rå fett 22%";100;"Pålägg";292;1221;21.9;22.3;1.9;0;48.5;0;5.4;0.9;0.2;0.6;0;0;0;14.9;2.2;0.8;2.3;6.8;1.9;0;4.6;0.3;4;0.8;0.6;0.1;0;0;0;0;71;193;192;12;0.16;0.4;6.5;0.02;0.25;0.08;5.3;0.04;1.6;0.64;0;406;34;0.2;633;74;34;1680;4.2;10.3;3;0
"Färskost fett 33%";101;"Pålägg";343;1435;33;10.2;2.4;0;53;0;1.4;2.1;0;2.1;0;0;0;21.4;2.8;1.1;3.5;9.5;3.7;0.1;8.5;0.5;7.4;0.8;0.6;0.2;0;0;0;0;110;311.6;300;139;0.33;0.7;;0.04;0.2;0.1;2.48;0.06;13;0.2;0;160;12;0.3;200;119;6;570;1.4;5.5;0.5;0
"Ädelost grönmögelost fett 43%";102;"Pålägg";429;1797;43;9.6;2.5;0;43.3;0;1.6;2.1;0;2.1;0;0;0;27.9;3.7;1.4;4.5;12.3;4.8;0.1;11.1;0.6;9.7;1.1;0.8;0.2;0;0;0;0;110;363.5;350;162;0.36;0.8;;0.04;0.2;0.1;2.34;0.06;13;0.2;0;140;12;0.3;230;119;6;472;1.2;5.5;0.5;0
"Ost hårdost parmesan fett 30%";103;"Pålägg";410;1714;29.7;36.2;0;0;27.6;0;7.2;0.9;0;0.9;0;0;0;18.2;3;0.8;2.9;8;2.9;0;6.7;0.4;5.8;1.1;0.8;0.2;0;0;0;0;93;390.4;371;233;0.3;0.8;;0.03;0.32;0.1;8.5;0.11;0.4;3.3;0;680;72;0.8;1025;152;41;660;1.6;12;5.1;0
"Färskost m. vitlök fett 35%";104;"Pålägg";340;1422;35;4;3.5;0;56.7;0;0.8;0.4;0;0.4;0;0;0;22.7;3;1.1;3.7;10;3.9;0.1;9;0.5;7.9;0.9;0.7;0.2;0;0;0;0;120;268.7;262;80;0.24;0.8;;0.02;0.14;0.1;1.03;0.03;13;0.6;0;145;7.1;0.1;68;40;5;260;0.6;5.5;0.4;0
"Camembert vitmögelost fett 11%";105;"Pålägg";185;774;11;21.4;0.2;0;64.1;0;3.3;0.1;0;0.1;0;0;0;7.1;0.9;0.4;1.2;3.2;1.2;0;2.8;0.2;2.5;0.3;0.2;0.1;0;0;0;0;35;89.3;86;40;0.12;0.3;;0.04;0.45;1.8;6.79;0.25;62;1.1;0;370;19.1;0.2;187;720;20;605;1.5;3;2.4;0
"Mjukost smältost fett ca 22%";106;"Pålägg";273;1144;22.4;10.3;8.2;0;55.3;0;3.7;5.5;0;5.4;0;0;0;15.1;2.3;0.7;2.4;6.4;2.3;0;4.9;0.4;4.2;1;0.4;0.2;0;0;0;0;61.4;304.4;298.6;67;0.12;0.7;0.8;0.05;0.28;0.17;2.6;0.06;18.5;0.28;0;710;11;0.1;291;255;19;884;2.2;39;1.2;0
"Färskost cream cheese fett 27%";107;"Pålägg";276;1155;27.3;6.1;2.4;0;63.1;0;1.1;2.7;0;2.7;0;0;0;18;3.4;0.9;2.8;7.2;2.6;0;6.4;0.4;5.5;1.2;0.6;0.2;0;0;0;0;84.9;285.3;283.6;19;0.1;0.6;3.7;0.03;0.17;0.07;1.5;0.04;15.3;0.22;0;95;7.1;0.1;88;71;7;268;0.7;2.9;0.6;0
"Färskost cream cheese lätt fett 15%";108;"Pålägg";187;782;16;7.8;3.4;0;72.1;0;0.7;1.7;0.1;1.6;0;0;0;10.6;2;0.5;1.6;4.3;1.5;0;3.8;0.3;3.3;0.7;0.4;0.1;0;0;0;0;50.3;169;168.1;11;0.1;0.4;;0.02;0.1;0.04;1.86;0.02;18;0.13;0;56;7;0.1;52;42;4;159;0.4;4;0.4;0
"Färskost cream cheese extra light fett 5%";109;"Pålägg";116;484;5.3;12.2;4.7;0;76.2;0;1.5;3;0.1;2.9;0;0;0;3.4;0.4;0.2;0.5;1.6;0.5;0;1.3;0.1;1.1;0.2;0.2;0;0;0;0;0;27.5;56.3;54.6;18;0.1;0.1;0.4;0.03;0.25;0.1;3;0.04;23.8;0.34;0;132;19;0.1;57;188;8;342;0.8;6.2;0.5;0
"Camembert vitmögelost friterad";110;"Pålägg";324;1356;21.4;17.6;14.9;1.5;42;0;2.5;0.9;0.4;0.5;1;1;2;10.3;1.2;0.5;1.5;4.9;1.8;0;7.1;0.3;6.5;2.5;2.1;0.3;0;0;0;0;94.7;185.5;169.2;166;0.56;3;;0.07;0.35;1.43;5.44;0.16;39.1;0.83;0.2;294;18.5;0.7;472;192;24;465;1.2;8.3;1.9;2
"Getost chèvre vitmögelost fett 25%";111;"Pålägg";345;1445;29;20.6;1.4;0;46.3;0;2.8;0.4;0;0.4;0;0;0;20;3.8;1.1;2.7;7.7;3.5;0.1;5.9;0.3;5.4;1.3;0.9;0.2;0;0;0;0;97.6;302.3;302;2;0.15;0.6;3.7;0.05;0.42;0.66;5.5;0.18;48;0.18;0;263;43;0.7;169;134;17;686;1.7;11.3;0.9;0
"Bröstmjölk humanmjölk";113;"Mejeri";68;285;3.1;1.3;8.7;0;86.7;0;0.2;7.2;0;7.2;0;0;0;1.2;0;0.2;0.2;0.6;0.2;0;1.3;0.1;1.1;0.4;0.3;0;0;0;0;0;14;60;58;24;0.1;0.3;;0.02;0.03;0.2;0.5;0.01;5;1;4;15;7;0.1;34;58;3;15;0;1;0.3;0
"Filmjölk fett 3% berikad";114;"Mejeri";57;239;2.8;3.3;4.6;0;88.6;0;0.7;3.8;0;3.8;0;0;0;1.8;0.2;0.1;0.3;0.8;0.3;0;0.7;0;0.6;0.1;0.1;0;0;0;0;0;9.1;27;26;12;1;0.1;11.4;0.04;0.15;0.11;0.9;0.04;10;0.25;0;95;10.5;0;114;155;12;39;0.1;0;0.7;0
"Kondenserad mjölk konserv. fett ca 8%";115;"Mejeri";136;567;7.6;6.8;10;0;74;0;1.6;10;0;10;0;0;0;4.9;0.6;0.2;0.8;2.2;0.8;0;2;0.1;1.7;0.2;0.2;0;0;0;0;0;29;63.3;61;28;0.05;0.2;;0.05;0.32;0.2;1.79;0.05;8;0.2;0;200;35;0.2;260;305;24;106;0.3;3;0.8;0
"Kondenserad mjölk konserv. konc. m. socker fett ca 9%";116;"Mejeri";331;1384;8.7;7.9;54.6;0;27;0;1.8;55;0;55;50;50;0;5.6;0.7;0.3;0.9;2.5;1;0;2.2;0.1;2;0.2;0.2;0;0;0;0;0;34;69.6;67;31;0.06;0.2;;0.09;0.42;0.2;2.04;0.05;11;0.4;3;255;35;0.2;285;370;26;127;0.3;3;0.9;0
"Mjölkpulver fett 1%";118;"Mejeri";365;1527;0.8;36.2;52;0;3.2;0;7.9;51;0;51;0;0;0;0.5;0.1;0;0.1;0.2;0.1;0;0.2;0;0.2;0;0;0;0;0;0;0;20;6.7;6;1;0;0;;0.42;1.55;0.95;9.39;0.36;50;4.7;0;968;150;0.3;1257;1794;110;535;1.3;10;4.1;0
"Filmjölk långfil fett 3% berikad";119;"Mejeri";60;251;3;3.4;4.8;0;88;0;0.7;3.8;0;3.8;0;0;0;2;0.3;0.1;0.3;0.9;0.4;0;0.7;0;0.6;0;0;0;0;0;0;0;10.2;26.2;25;14;1;0.1;;0.04;0.14;0.06;0.86;0.04;11.2;0.27;0;91;10.5;0;116;162;12;41;0.1;1.8;0.4;0
"Lättfil fett 0,5% berikad";120;"Mejeri";39;164;0.5;3.5;5;0;90.2;0;0.8;4;0;3.9;0;0;0;0.3;0;0;0;0.1;0.1;0;0.1;0;0.1;0;0;0;0;0;0;0;3.3;4.8;4.6;2;1;0;;0.04;0.15;0.07;0.76;0.04;11.5;0.27;0;94;10.5;0;119;166;12;42;0.1;1.8;0.4;0
"Milkshake choklad jordgubb";122;"Dryck";84;352;3.6;2;10.9;0;83;0;0.5;10.6;1.6;9;5;5;0;1;0;0;0;0.6;0.3;0;1.7;0;1.6;0.8;0.8;0;0;0;0;0;10;29.1;28;13;0.02;0.1;;0.03;0.09;0.1;0.57;0.04;5;0.3;0;50;8.7;0.1;73;188;13;45;0.1;0.6;0.3;0
"Mjölk fett 3% berikad";123;"Mejeri";60;251;3;3.5;4.7;0;88;0;0.8;4.8;0;4.8;0;0;0;1.9;0.2;0.1;0.3;0.9;0.3;0;0.8;0.1;0.6;0.1;0;0;0;0;0;0;10.3;27.7;25.8;22;1;0.1;0.9;0.05;0.14;0.07;0.9;0.04;14.3;0.58;0.6;102;11.8;0;120;161;11;39;0.1;1.6;0.4;0
"Yoghurt naturell fett 3%";124;"Mejeri";56;234;2.7;3.4;4.5;0;88.7;0;0.7;2.9;0;2.9;0;0;0;1.8;0.2;0.1;0.3;0.8;0.3;0;0.6;0;0.6;0.1;0.1;0;0;0;0;0;10.6;24.1;23;12;1;0.1;0.9;0.04;0.14;0.11;0.9;0.04;13.8;0.21;0;91;8;0.1;116;162;11;38;0.1;0;1.6;0
"Fruktyoghurt fett 2,5%";125;"Mejeri";97;408;2.5;3.3;15;0.5;78;0;0.7;14.5;2;12.5;12;12;0;1.6;0.3;0.1;0.3;0.7;0.3;0;0.6;0;0.5;0;0;0;0;0;0;0;8;21.8;20.9;12;0.02;0.1;;0.04;0.16;0.1;0.87;0.04;23;0.2;2;92;13;0.1;104;152;12;36;0.1;1.1;0.3;0
"Fruktyoghurt lätt fett 0,5%";126;"Mejeri";76;317;0.5;3;14.3;0.5;81;0;0.7;14.2;6.1;8.1;11;11;0;0.3;0;0;0;0.1;0.1;0;0.1;0;0.1;0;0;0;0;0;0;0;1.6;4.4;4.2;2;1;0;;0.04;0.17;0.1;0.8;0.04;23;0.2;2;92;9.2;0.1;104;152;12;36;0.1;1.1;0.3;0
"Mjölk fett 4,2% typ lantmjölk";127;"Mejeri";70;294;4.2;3.4;4.8;0;86.9;0;0.8;4.7;0;4.7;0;0;0;2.7;0.3;0.1;0.4;1.3;0.4;0;1;0.1;0.9;0.1;0.1;0;0;0;0;0;13.7;27.7;25.8;22;0.01;0.1;1.2;0.05;0.14;0.07;0.9;0.04;14.2;0.57;0.6;101;11.7;0;119;159;11;39;0.1;1.6;0.4;0
"Filmjölk A-fil fett 3% berikad";128;"Mejeri";60;251;3;3.4;4.8;0;88;0;0.7;3.8;0;3.8;0;0;0;2;0.3;0.1;0.3;0.9;0.4;0;0.7;0;0.6;0;0;0;0;0;0;0;10.2;26.2;25;14;1;0.1;;0.04;0.14;0.06;0.86;0.04;11.2;0.27;0;91;10.5;0;116;162;12;41;0.1;1.8;0.4;0
"Mellanfil fett 1,5% berikad";130;"Mejeri";48;199;1.5;3.5;5;0;89.3;0;0.8;3.8;0;3.8;0;0;0;1;0.2;0;0.2;0.4;0.2;0;0.4;0;0.3;0;0;0;0;0;0;0;6;14.4;13.8;7;1;0;;0.04;0.14;0.07;0.88;0.04;11.3;0.27;0;93;10.5;0;117;165;12;41;0.1;1.8;0.4;0
"Mjölkdryck jordgubb fett 1,5% berikad";133;"Dryck";50;209;1.7;3.3;5.2;0;89.3;0;0.5;7.4;0.1;7.3;2;2;0;1.1;0.1;0.1;0.2;0.5;0.2;0;0.4;0;0.4;0.1;0;0;0;0;0;0;6.5;23.4;13.8;114;0.43;0.1;0.4;0.05;0.16;0.11;0.9;0.06;14.1;0.39;1.1;75;6;0.2;74;118;8;29;0.1;2.5;0.4;0
"Yoghurt naturell lätt fett 0,5% berikad";135;"Mejeri";42;178;0.5;3.9;5.5;0;89.3;0;0.8;3.2;0;3.1;0;0;0;0.3;0;0;0;0.1;0.1;0;0.1;0;0.1;0;0;0;0;0;0;0;3.3;4.8;4.6;2;1;0;;0.05;0.16;0.07;0.97;0.05;12.6;0.27;0;103;15.6;0;130;183;14;46;0.1;2;0.5;0
"Fruktyoghurt fett 2%";136;"Mejeri";93;389;2;3.3;15;0.5;78.5;0;0.7;14.5;2;12.5;12;12;0;1.3;0.2;0.1;0.2;0.6;0.2;0;0.5;0;0.4;0;0;0;0;0;0;0;6.4;17.4;16.7;9;0.01;0;;0.04;0.16;0.1;0.87;0.04;23;0.2;2;92;10.3;0.1;104;152;12;36;0.1;1.1;0.3;0
"Fruktyoghurt delikatessyoghurt fett 7%";137;"Mejeri";129;540;7;2.5;14;0;75.8;0;0.7;14;6;8;11;11;0;4.6;0.7;0.2;0.7;2;0.8;0;1.6;0.1;1.5;0.1;0.1;0;0;0;0;0;22.4;61.1;58.4;32;0.05;0.2;;0.04;0.16;0.1;0.68;0.04;11;0.2;0;92;9.9;0;100;152;12;36;0.1;1.1;0.3;0
"Fruktyoghurt lätt fett<0,05%";138;"Mejeri";52;216;0;3.8;8.8;0;86.8;0;0.6;9.8;0.9;8.9;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.04;0.14;0.12;1;0.04;19.7;0.23;0.7;83;10;0;73;136;9;36;0.1;3.2;0.4;0
"Fruktyoghurt fett 5%";139;"Mejeri";127;530;5.1;5.6;14.6;0;74;0;0.7;13.5;2.5;11;11;11;0;3.4;0.4;0.2;0.5;1.7;0.4;0;1.2;0.1;1;0.2;0.1;0;0;0;0;0;18.6;43.2;41.7;16;0.1;0.2;0.4;0.04;0.17;0.13;1.4;0.03;32.5;0.4;0;96;11;0.1;86;142;10;48;0.1;4.1;0.4;0
"Fruktyoghurt fett 1,3%";140;"Mejeri";93;391;1.4;7;13;0;77.9;0;0.6;12.7;1.3;11.4;10;10;0;0.9;0.1;0;0.2;0.4;0.1;0;0.3;0;0.3;0;0;0;0;0;0;0;8.1;38.9;37.6;14;0.1;0.1;0.4;0.05;0.32;0.13;1.8;0.12;24.6;0.56;0;117;13;1.1;20;122;27;0;0;3.6;0.5;0
"Kefir fett 3% berikad";142;"Mejeri";60;251;3;3.4;4.8;0;88;0;0.7;3.8;0;3.8;0;0;0;2;0.3;0.1;0.3;0.9;0.4;0;0.7;0;0.6;0;0;0;0;0;0;0;10.2;26.2;25;14;1;0.1;;0.04;0.14;0.06;0.86;0.04;11.2;0.27;0;91;10.5;0;116;162;12;41;0.1;1.8;0.4;0
"Yoghurt mild vanilj lätt fett 0,5%  ";147;"Mejeri";61;255;0.5;4.1;9.9;0;84.7;0;0.8;8.6;1;7.6;6;6;0;0.3;0.1;0;0.1;0.1;0.1;0;0.1;0;0.1;0;0;0;0;0;0;0;3;25.2;25;2;1;0;;0.05;0.17;0.1;1.05;0.05;12.8;0.3;0;107;9.2;0;136;192;14;49;0.1;2;0.5;0
"Mellanmjölk fett 1,5% berikad";150;"Mejeri";47;198;1.5;3.6;4.8;0;89.4;0;0.8;4.9;0;4.9;0;0;0;1;0.1;0;0.2;0.5;0.2;0;0.4;0;0.3;0;0;0;0;0;0;0;6.1;13.8;12.9;11;1;0;0.4;0.05;0.15;0.07;0.9;0.04;14.6;0.59;0.6;104;12;0;122;163;11;40;0.1;1.6;0.4;0
"Lättmjölk fett 0,5% berikad";151;"Mejeri";39;161;0.5;3.6;4.8;0;90.3;0;0.8;4.9;0;4.9;0;0;0;0.3;0;0;0;0.2;0;0;0.1;0;0.1;0;0;0;0;0;0;0;3.3;4.6;4.3;4;1;0;0.1;0.05;0.15;0.07;0.9;0.04;14.7;0.59;0.6;105;12.1;0;124;165;11;40;0.1;1.6;0.4;0
"Vassle flytande";152;"Övrigt";25;103;0.1;0.8;5.1;0;93.4;0;0.6;5.1;0;5.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9;0.8;0;0;0;0;0.04;0.14;0.08;0.26;0.04;2;0.18;0.1;78;;0.1;103;143;10;48;0.1;1.8;0.4;0
"Filbunke m. grädde";154;"Mejeri";66;276;3.6;3.6;4.8;0;87.2;0;0.8;4.8;0;4.8;0;0;0;2.3;0.3;0.1;0.4;1.1;0.4;0;0.9;0.1;0.8;0.1;0.1;0;0;0;0;0;11.9;33.3;31.2;25;1;0.1;2.8;0.05;0.14;0.08;0.92;0.04;11.7;0.52;0.5;104;12;0;123;165;11;40;0.1;1.4;0.5;0
"Varm choklad m. mjölk fett 3%";156;"Dryck";85;356;3.1;3.8;10.4;0;81.8;0;0.9;10.1;1.1;9;5;5;0;2;0.2;0.1;0.3;1;0.3;0;0.8;0.1;0.7;0.1;0.1;0;0;0;0;0;10.1;27.1;25.2;21;0.98;0.1;1;0.04;0.14;0.1;0.97;0.04;11.8;0.54;0.6;111;11.5;0.1;119;202;18;51;0.1;1.6;0.5;0
"Varm choklad m. mjölk fett 1,5%";157;"Dryck";72;305;1.7;3.9;10.5;0;83.2;0;0.9;10.2;1.1;9.1;5;5;0;1.1;0.1;0;0.2;0.5;0.2;0;0.4;0;0.4;0;0;0;0;0;0;0;6;13.5;12.6;11;0.98;0;0.5;0.04;0.14;0.1;0.97;0.04;12;0.55;0.6;113;11.7;0.1;121;204;18;52;0.1;1.6;0.5;0
"Varm choklad m. mjölk fett 0,5%";158;"Dryck";65;269;0.7;3.9;10.5;0;84.1;0;0.9;10.2;1.1;9.1;5;5;0;0.4;0;0;0;0.2;0.1;0;0.2;0;0.2;0;0;0;0;0;0;0;3.2;4.5;4.2;4;0.98;0;0.2;0.04;0.14;0.1;0.97;0.04;12.1;0.55;0.6;114;11.8;0.1;123;206;18;52;0.1;1.7;0.5;0
"Hårt bröd fullkorn råg fibrer 15,5% typ Husman";162;"Bröd";354;1481;2.5;10;64.4;15.5;5.2;0;2.4;1.4;0.5;0.9;0;0;100;0.3;0;0;0;0.3;0;0;0.3;0;0.3;1.1;1;0.1;0;0;0;0;0;0;0;0;0;0.7;;0.22;0.1;0.97;2.64;0.26;74.5;0;0;325;6.8;2.5;40;500;100;400;1;2.3;2.3;0
"Hårt bröd fullkorn råg fibrer ca 18% typ Ryvita mörkt";163;"Bröd";349;1460;2.5;14.6;57.6;17.6;5.4;0;2.3;1.9;0.2;1.7;0;0;100;0.3;0;0;0;0.3;0;0;0.3;0;0.2;1.2;1;0.2;0;0;0;0;0;0;0;0;0;0.7;;0.13;0.11;0.91;3.3;0.3;37.3;0;0;350;11;3;43;505;78;300;0.8;5.5;2.3;0
"Hårt bröd fullkorn vete m. vallmofrö fibrer 5,5%";164;"Bröd";398;1667;7.1;11.1;68.9;5.5;5.5;0;1.9;5.6;3.3;2.3;6;6;14;0.6;0;0;0;0.4;0.2;0;2.4;0;2.3;1.8;1.4;0.4;0;0;0;0;1;22.6;21.7;7;0.25;0.6;6.4;0.3;0.18;4.81;6.65;0.31;66.5;0;0;170;11;1.7;62;260;34;425;1.1;3.6;1.2;0
"Hårt bröd fullkorn råg fibrer 14,5% typ Vika";165;"Bröd";345;1444;2.4;9.6;63.3;14.5;7.2;0;3;2.3;1.3;0.9;0;0;100;0.3;0;0;0;0.3;0;0;0.3;0;0.3;1;0.9;0.1;0;0;0;0;0;0;0;0;0;0.7;;0.24;0.14;1.4;3;0.3;63.1;0;0;325;43;3.3;40;415;73;650;1.6;9.8;2.4;0
"Hårt bröd fullkorn råg fibrer 16% typ Finn crisp";166;"Bröd";348;1458;2;11.1;62.8;16;5;0;3.1;3.3;1.4;1.9;0;0;94;0.3;0;0;0;0.2;0;0;0.2;0;0.2;0.9;0.8;0.1;0;0;0;0;0;0;0;0;0;0.7;;0.26;0.18;1.5;3.35;0.36;90.2;0;0;390;113;4;34;520;88;615;1.5;24.2;3.1;0
"Hårt bröd fullkorn råg fibrer ca 15% typ flatbröd";167;"Bröd";362;1515;2;9.5;68;15.4;3.3;0;1.8;4.5;1.1;3.4;4;4;93;0.3;0;0;0;0.2;0;0;0.2;0;0.2;0.9;0.8;0.1;0;0;0;0;0;0;0;0;0;0.7;;0.21;0.11;0.87;2.48;0.29;31.4;0;0;260;16;3.3;40;420;70;185;0.5;4.4;2.9;0
"Hårt bröd glutenfritt fibrer ca 7%";168;"Bröd";346;1446;2;6.3;71.1;7;10.8;0;2.8;7.6;1.8;5.8;8;8;0;0.1;0;0;0;0.1;0;0;0.8;0;0.7;0.4;0.3;0.1;0;0;0;0;2;1.1;1;1;0;0;;0.44;0.6;4.81;5.85;0.41;47.5;0.4;0;190;53;8.4;240;275;24;565;1.4;2.3;1.1;0
